stat-name,user,supervisor,hypervisor,machine,total
cycles,178424550,3976363,0,36398,182437311
commits,152777620,1499056,0,17696,154294372
ins_fetch,171867032,1936350,0,19970,173823352
sim_time_milli_sec,0,0,0,0,62424
insn_mem_delay,216693,464387,0,4775,685855
data_mem_delay,317163,1244856,0,2287,1564306
exec_unit_delay,0,0,0,0,0
load_insn,16746692,356193,0,5012,17107897
store_insn,4969811,220841,0,4512,5195164
atomic_insn,133,15853,0,0,15986
system_insn,242,20867,0,1314,22423
aritmetic_insn,100121305,615792,0,5188,100742285
cond_branches,22631100,207505,0,1036,22839641
jal_insn,2492787,32249,0,116,2525152
jalr_insn,1116412,27339,0,518,1144269
int_mul_insn,4698348,1885,0,0,4700233
int_div_insn,436,84,0,0,520
fp_load_insn,82,192,0,0,274
fp_store_insn,243,256,0,0,499
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,3384547,7886,0,0,3392433
load_half_word_insn,7320002,944,0,0,7320946
load_word_insn,2481861,44595,0,384,2526840
load_double_word_insn,3560364,302960,0,4628,3867952
itlb_reads,20025774,200529,0,2505,20228808
itlb_hits,20022648,178533,0,2198,20203379
load_tlb_reads,17281493,384755,0,5016,17671264
load_tlb_hits,17272989,352059,0,4498,17629546
store_tlb_reads,4970265,236842,0,4512,5211619
store_tlb_hits,4969091,224152,0,4342,5197585
cond_branches_taken,11523127,83313,0,482,11606922
cond_branches_pred_correct,19193627,158163,0,695,19352485
cond_branches_pred_incorrect,3960165,57710,0,441,4018316
uncond_branches_pred_correct,3046708,24006,0,226,3070940
uncond_branches_pred_incorrect,765515,47176,0,440,813131
btb_reads,198833047,2223405,0,21772,201078224
btb_hits,51035046,362169,0,2242,51399457
btb_inserts,3578693,172732,0,1215,3752640
btb_updates,25996296,260239,0,1668,26258203
int_regfile_reads,0,0,0,0,0
int_regfile_writes,122532706,1005984,0,10334,123549024
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,192,0,0,293
csr_reads,7,15681,0,1162,16850
csr_writes,2,13782,0,644,14428
fu_alu_accesses,152150773,1576541,0,16772,153744086
fu_mul_accesses,4858401,1902,0,0,4860303
fu_div_accesses,470,116,0,0,586
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3126,21998,0,0,25124
load_page_walks,8500,32535,0,0,41035
store_page_walks,1174,12690,0,0,13864
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,116,0,0,116
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,186,0,0,0,186
supervisor_ecall,0,18,0,0,18
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,17,1,0,0,18
machine_timer_interrupt,17,1,0,0,18
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5726061,154630,0,2329,5883020
L1_icache_reads,171867032,1936350,0,19970,173823352
L1_icache_read_misses,4447,13510,0,158,18115
L1_dcache_reads,17318576,521127,0,4900,17844603
L1_dcache_read_misses,7043,18148,0,36,25227
L1_dcache_writes,4970198,236844,0,4494,5211536
L1_dcache_write_misses,599,9333,0,45,9977
L2_cache_reads,12139,41084,0,239,53462
L2_cache_read_misses,7913,25232,0,89,33234
L2_cache_writes,2892,14909,0,44,17845
L2_cache_write_misses,52,139,0,0,191
