stat-name,user,supervisor,hypervisor,machine,total
cycles,212083198,4315662,0,44052,216442912
commits,182986927,1653239,0,22323,184662489
ins_fetch,203082148,1994081,0,24097,205100326
sim_time_milli_sec,0,0,0,0,69286
insn_mem_delay,210455,605023,0,6543,822021
data_mem_delay,333344,1352047,0,1394,1686785
exec_unit_delay,0,0,0,0,0
load_insn,28051314,391456,0,6319,28449089
store_insn,7891682,241311,0,5687,8138680
atomic_insn,136,16203,0,0,16339
system_insn,273,22825,0,1653,24751
aritmetic_insn,106859982,688939,0,6555,107555476
cond_branches,31351987,223693,0,1308,31576988
jal_insn,2921136,35712,0,147,2956995
jalr_insn,1211265,30445,0,654,1242364
int_mul_insn,4698362,2040,0,0,4700402
int_div_insn,436,103,0,0,539
fp_load_insn,82,224,0,0,306
fp_store_insn,243,288,0,0,531
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,4742016,9788,0,0,4751804
load_half_word_insn,8986661,1913,0,0,8988574
load_word_insn,2425138,56040,0,485,2481663
load_double_word_insn,11897581,323939,0,5834,12227354
itlb_reads,27292023,228048,0,3186,27523257
itlb_hits,27288636,203901,0,2801,27495338
load_tlb_reads,28794652,420672,0,6322,29221646
load_tlb_hits,28693177,382903,0,5668,29081748
store_tlb_reads,7892134,257683,0,5687,8155504
store_tlb_hits,7890604,243073,0,5474,8139151
cond_branches_taken,17041767,89460,0,610,17131837
cond_branches_pred_correct,28373177,188995,0,1027,28563199
cond_branches_pred_incorrect,3894411,41055,0,358,3935824
uncond_branches_pred_correct,4278455,40565,0,522,4319542
uncond_branches_pred_incorrect,109564,34378,0,314,144256
btb_reads,239737755,2299074,0,26318,242063147
btb_hits,74200809,486857,0,3436,74691102
btb_inserts,161694,85214,0,773,247681
btb_updates,35530912,274707,0,2052,35807671
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140661005,1117129,0,13043,141791177
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,224,0,0,325
csr_reads,7,17197,0,1462,18666
csr_writes,2,15073,0,808,15883
fu_alu_accesses,183801668,1720417,0,20998,185543083
fu_mul_accesses,4859420,2066,0,0,4861486
fu_div_accesses,476,148,0,0,624
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3387,24149,0,0,27536
load_page_walks,101471,37535,0,0,139006
store_page_walks,1530,14610,0,0,16140
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,147,0,0,147
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,216,0,0,0,216
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,116,8,0,0,124
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,22,0,0,0,22
machine_timer_interrupt,22,0,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5158126,131063,0,2494,5291683
L1_icache_reads,203082148,1994081,0,24097,205100326
L1_icache_read_misses,4663,17356,0,193,22212
L1_dcache_reads,28833355,575176,0,6175,29414706
L1_dcache_read_misses,7099,19798,0,47,26944
L1_dcache_writes,7892069,257669,0,5665,8155403
L1_dcache_write_misses,613,9744,0,61,10418
L2_cache_reads,12426,47010,0,301,59737
L2_cache_read_misses,8309,30290,0,107,38706
L2_cache_writes,2814,15555,0,47,18416
L2_cache_write_misses,54,160,0,0,214
