stat-name,user,supervisor,hypervisor,machine,total
cycles,216241027,4051159,0,42105,220334291
commits,183200584,1516525,0,21525,184738634
ins_fetch,205197984,1958771,0,24255,207181010
sim_time_milli_sec,0,0,0,0,76498
insn_mem_delay,222344,473852,0,4235,700431
data_mem_delay,334157,1282927,0,1850,1618934
exec_unit_delay,0,0,0,0,0
load_insn,28269796,360507,0,6097,28636400
store_insn,7836938,224977,0,5489,8067404
atomic_insn,140,15929,0,0,16069
system_insn,251,21306,0,1599,23156
aritmetic_insn,106885702,621047,0,6309,107513058
cond_branches,31388928,209448,0,1260,31599636
jal_insn,2910268,32707,0,141,2943116
jalr_insn,1209365,27956,0,630,1237951
int_mul_insn,4698352,1922,0,0,4700274
int_div_insn,445,86,0,0,531
fp_load_insn,94,288,0,0,382
fp_store_insn,248,352,0,0,600
fp_add_insn,3,0,0,0,3
fp_mul_insn,2,0,0,0,2
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,47,0,0,0,47
load_byte_insn,4761757,7927,0,0,4769684
load_half_word_insn,9028659,976,0,0,9029635
load_word_insn,2411952,45125,0,467,2457544
load_double_word_insn,12067522,306767,0,5630,12379919
itlb_reads,26998939,203395,0,3044,27205378
itlb_hits,26995720,180841,0,2670,27179231
load_tlb_reads,28831308,389989,0,6101,29227398
load_tlb_hits,28816163,356078,0,5471,29177712
store_tlb_reads,7837402,241149,0,5489,8084040
store_tlb_hits,7835659,228480,0,5282,8069421
cond_branches_taken,17123689,84159,0,586,17208434
cond_branches_pred_correct,27799430,159698,0,839,27959967
cond_branches_pred_incorrect,4121860,58343,0,543,4180746
uncond_branches_pred_correct,3558346,24245,0,271,3582862
uncond_branches_pred_incorrect,774655,47833,0,538,823026
btb_reads,241452275,2248890,0,26446,243727611
btb_hits,70354909,365916,0,2710,70723535
btb_inserts,3642805,174450,0,1491,3818746
btb_updates,35204369,262783,0,2028,35469180
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140901176,1016030,0,12569,141929775
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,130,288,0,0,418
csr_reads,11,16010,0,1414,17435
csr_writes,4,14039,0,784,14827
fu_alu_accesses,182692138,1594497,0,20376,184307011
fu_mul_accesses,4858413,1938,0,0,4860351
fu_div_accesses,479,121,0,0,600
fu_fpu_alu_accesses,60,0,0,0,60
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3219,22557,0,0,25776
load_page_walks,15135,33736,0,0,48871
store_page_walks,1743,12669,0,0,14412
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,141,0,0,141
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,190,0,0,0,190
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,121,8,0,0,129
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,21,1,0,0,22
machine_timer_interrupt,21,1,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5977973,156950,0,2843,6137766
L1_icache_reads,205197984,1958771,0,24255,207181010
L1_icache_read_misses,4625,13932,0,167,18724
L1_dcache_reads,28890181,529843,0,5960,29425984
L1_dcache_read_misses,7175,18374,0,38,25587
L1_dcache_writes,7837334,241152,0,5467,8083953
L1_dcache_write_misses,622,9522,0,43,10187
L2_cache_reads,12470,41923,0,248,54641
L2_cache_read_misses,8129,25987,0,79,34195
L2_cache_writes,2999,15055,0,50,18104
L2_cache_write_misses,47,136,0,1,184
