stat-name,user,supervisor,hypervisor,machine,total
cycles,215005504,4433388,0,47802,219486694
commits,182990043,1643955,0,24178,184658176
ins_fetch,204963669,2137403,0,27558,207128630
sim_time_milli_sec,0,0,0,0,73379
insn_mem_delay,233724,599688,0,4990,838402
data_mem_delay,338260,1335140,0,2144,1675544
exec_unit_delay,0,0,0,0,0
load_insn,28052069,390938,0,6840,28449847
store_insn,7891999,244015,0,6154,8142168
atomic_insn,140,16218,0,0,16358
system_insn,297,23815,0,1785,25897
aritmetic_insn,106861193,672622,0,7112,107540927
cond_branches,31352435,226076,0,1418,31579929
jal_insn,2921260,36411,0,160,2957831
jalr_insn,1211384,30926,0,709,1243019
int_mul_insn,4698400,2066,0,0,4700466
int_div_insn,467,100,0,0,567
fp_load_insn,94,352,0,0,446
fp_store_insn,248,416,0,0,664
fp_add_insn,3,0,0,0,3
fp_mul_insn,2,0,0,0,2
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,47,0,0,0,47
load_byte_insn,4742057,10285,0,0,4752342
load_half_word_insn,8986661,1870,0,0,8988531
load_word_insn,2425200,51157,0,526,2476883
load_double_word_insn,11898245,327978,0,6314,12232537
itlb_reads,26689430,216027,0,3399,26908856
itlb_hits,26685833,190972,0,2984,26879789
load_tlb_reads,28671603,422131,0,6845,29100579
load_tlb_hits,28569204,384896,0,6136,28960236
store_tlb_reads,7892459,260519,0,6154,8159132
store_tlb_hits,7890316,245487,0,5925,8141728
cond_branches_taken,17041907,90115,0,663,17132685
cond_branches_pred_correct,27466860,168052,0,826,27635738
cond_branches_pred_incorrect,4321689,67908,0,730,4390327
uncond_branches_pred_correct,3600324,25753,0,295,3626372
uncond_branches_pred_incorrect,787258,53955,0,612,841825
btb_reads,241139800,2453071,0,30021,243622892
btb_hits,69862279,392954,0,2999,70258232
btb_inserts,3589210,190687,0,1725,3781622
btb_updates,35088689,285328,0,2280,35376297
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140663166,1100782,0,14135,141778083
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,130,352,0,0,482
csr_reads,11,17998,0,1579,19588
csr_writes,4,15773,0,870,16647
fu_alu_accesses,182770203,1733777,0,22864,184526844
fu_mul_accesses,4856454,2097,0,0,4858551
fu_div_accesses,550,144,0,0,694
fu_fpu_alu_accesses,60,0,0,0,60
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3597,25058,0,0,28655
load_page_walks,102397,37010,0,0,139407
store_page_walks,2143,15032,0,0,17175
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,160,0,0,160
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,236,0,0,0,236
supervisor_ecall,0,23,0,0,23
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,117,8,0,0,125
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,22,1,0,0,23
machine_timer_interrupt,22,1,0,0,23
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,7,0,0,7
machine_external_interrupt,0,0,0,0,0
pipeline_flush,6285486,179120,0,3310,6467916
L1_icache_reads,204963669,2137403,0,27558,207128630
L1_icache_read_misses,4949,16987,0,187,22123
L1_dcache_reads,28717392,578533,0,6685,29302610
L1_dcache_read_misses,7365,19635,0,43,27043
L1_dcache_writes,7892392,260506,0,6131,8159029
L1_dcache_write_misses,653,9626,0,53,10332
L2_cache_reads,13015,46343,0,283,59641
L2_cache_read_misses,8729,30001,0,96,38826
L2_cache_writes,2898,15395,0,54,18347
L2_cache_write_misses,57,140,0,3,200
