stat-name,user,supervisor,hypervisor,machine,total
cycles,215570734,4070337,0,41280,219682351
commits,183200694,1514834,0,21525,184737053
ins_fetch,205426933,1963831,0,24468,207415232
sim_time_milli_sec,0,0,0,0,73352
insn_mem_delay,230034,463680,0,3472,697186
data_mem_delay,334362,1289688,0,1704,1625754
exec_unit_delay,0,0,0,0,0
load_insn,28269801,360410,0,6097,28636308
store_insn,7836953,224864,0,5489,8067306
atomic_insn,140,15965,0,0,16105
system_insn,251,21284,0,1599,23134
aritmetic_insn,106885780,620040,0,6309,107512129
cond_branches,31388938,209034,0,1260,31599232
jal_insn,2910270,32741,0,141,2943152
jalr_insn,1209365,27854,0,630,1237849
int_mul_insn,4698352,1921,0,0,4700273
int_div_insn,445,81,0,0,526
fp_load_insn,94,288,0,0,382
fp_store_insn,248,352,0,0,600
fp_add_insn,3,0,0,0,3
fp_mul_insn,2,0,0,0,2
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,47,0,0,0,47
load_byte_insn,4761756,7936,0,0,4769692
load_half_word_insn,9028659,974,0,0,9029633
load_word_insn,2411955,44893,0,467,2457315
load_double_word_insn,12067525,306895,0,5630,12380050
itlb_reads,26753012,197002,0,3031,26953045
itlb_hits,26749792,174480,0,2658,26926930
load_tlb_reads,28907772,390401,0,6101,29304274
load_tlb_hits,28794268,355538,0,5471,29155277
store_tlb_reads,7837416,241064,0,5489,8083969
store_tlb_hits,7835638,227149,0,5282,8068069
cond_branches_taken,17123700,84009,0,586,17208295
cond_branches_pred_correct,27494851,155873,0,736,27651460
cond_branches_pred_incorrect,4369173,62633,0,640,4432446
uncond_branches_pred_correct,3590603,24040,0,266,3614909
uncond_branches_pred_incorrect,793926,48253,0,538,842717
btb_reads,241675486,2254630,0,26648,243956764
btb_hits,69920628,363849,0,2684,70287161
btb_inserts,3708873,174735,0,1494,3885102
btb_updates,35162140,263489,0,2017,35427646
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140901259,1014911,0,12569,141928739
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,130,288,0,0,418
csr_reads,11,15981,0,1414,17406
csr_writes,4,14017,0,784,14805
fu_alu_accesses,183089757,1597877,0,20314,184707948
fu_mul_accesses,4856407,1944,0,0,4858351
fu_div_accesses,525,112,0,0,637
fu_fpu_alu_accesses,60,0,0,0,60
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3220,22525,0,0,25745
load_page_walks,113498,34645,0,0,148143
store_page_walks,1778,13915,0,0,15693
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,141,0,0,141
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,190,0,0,0,190
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,22,0,0,0,22
machine_timer_interrupt,22,0,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,6337514,162051,0,2940,6502505
L1_icache_reads,205426933,1963831,0,24468,207415232
L1_icache_read_misses,4676,13481,0,137,18294
L1_dcache_reads,28980221,534397,0,5960,29520578
L1_dcache_read_misses,7210,18393,0,32,25635
L1_dcache_writes,7837350,241066,0,5467,8083883
L1_dcache_write_misses,626,9581,0,40,10247
L2_cache_reads,12557,41537,0,209,54303
L2_cache_read_misses,8304,25762,0,68,34134
L2_cache_writes,2970,15219,0,43,18232
L2_cache_write_misses,44,137,0,1,182
