stat-name,user,supervisor,hypervisor,machine,total
cycles,214139442,4411995,0,21080,218572517
commits,183214565,1627024,0,8218,184849807
ins_fetch,204371953,2082298,0,9579,206463830
sim_time_milli_sec,0,0,0,0,71195
insn_mem_delay,213719,606239,0,5313,825271
data_mem_delay,326273,1376173,0,1926,1704372
exec_unit_delay,0,0,0,0,0
load_insn,28272726,385351,0,2306,28660383
store_insn,7838897,236330,0,2066,8077293
atomic_insn,136,16229,0,0,16365
system_insn,273,22023,0,582,22878
aritmetic_insn,106892154,678137,0,2474,107572765
cond_branches,31390873,221831,0,488,31613192
jal_insn,2910733,35006,0,58,2945797
jalr_insn,1209615,29565,0,244,1239424
int_mul_insn,4698370,1934,0,0,4700304
int_div_insn,434,106,0,0,540
fp_load_insn,82,224,0,0,306
fp_store_insn,243,288,0,0,531
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,4762100,9697,0,0,4771797
load_half_word_insn,9028659,1893,0,0,9030552
load_word_insn,2412143,54627,0,182,2466952
load_double_word_insn,12069906,319358,0,2124,12391388
itlb_reads,26794563,213800,0,1172,27009535
itlb_hits,26791294,190625,0,1037,26982956
load_tlb_reads,28928718,415442,0,2311,29346471
load_tlb_hits,28826394,376776,0,2067,29205237
store_tlb_reads,7839351,252728,0,2066,8094145
store_tlb_hits,7838168,238205,0,1996,8078369
cond_branches_taken,17124664,88609,0,236,17213509
cond_branches_pred_correct,27801929,169907,0,333,27972169
cond_branches_pred_incorrect,4122018,60699,0,231,4182948
uncond_branches_pred_correct,3558293,25041,0,101,3583435
uncond_branches_pred_incorrect,773924,50970,0,221,825115
btb_reads,240628117,2388915,0,10465,243027497
btb_hits,70043251,386142,0,1056,70430449
btb_inserts,3643458,183569,0,656,3827683
btb_updates,35206783,277785,0,824,35485392
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140910803,1099498,0,4842,142015143
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,224,0,0,325
csr_reads,7,16737,0,516,17260
csr_writes,2,14794,0,272,15068
fu_alu_accesses,182791981,1708221,0,7986,184508188
fu_mul_accesses,4858432,1950,0,0,4860382
fu_div_accesses,466,160,0,0,626
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3269,23177,0,0,26446
load_page_walks,102319,38483,0,0,140802
store_page_walks,1183,14523,0,0,15706
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,58,0,0,58
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,216,0,0,0,216
supervisor_ecall,0,4,0,0,4
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,118,8,0,0,126
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,4,0,0,0,4
machine_timer_interrupt,4,0,0,0,4
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,8,0,0,8
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5976272,164921,0,1096,6142289
L1_icache_reads,204371953,2082298,0,9579,206463830
L1_icache_read_misses,4491,17185,0,189,21865
L1_dcache_reads,28965735,569902,0,2253,29537890
L1_dcache_read_misses,7105,19834,0,42,26981
L1_dcache_writes,7839285,252712,0,2062,8094059
L1_dcache_write_misses,610,9790,0,53,10453
L2_cache_reads,12249,46914,0,284,59447
L2_cache_read_misses,8346,30368,0,102,38816
L2_cache_writes,2815,15568,0,47,18430
L2_cache_write_misses,69,156,0,1,226
