stat-name,user,supervisor,hypervisor,machine,total
cycles,179554105,3993624,0,36935,183584664
commits,152777620,1497063,0,18487,154293170
ins_fetch,172713401,1939350,0,20997,174673748
sim_time_milli_sec,0,0,0,0,58371
insn_mem_delay,223790,447096,0,3877,674763
data_mem_delay,325768,1259206,0,2066,1587040
exec_unit_delay,0,0,0,0,0
load_insn,16746692,356148,0,5237,17108077
store_insn,4969811,221138,0,4715,5195664
atomic_insn,133,15858,0,0,15991
system_insn,242,20856,0,1374,22472
aritmetic_insn,100121305,614059,0,5417,100740781
cond_branches,22631100,206966,0,1082,22839148
jal_insn,2492787,32291,0,121,2525199
jalr_insn,1116412,27331,0,541,1144284
int_mul_insn,4698348,1888,0,0,4700236
int_div_insn,436,80,0,0,516
fp_load_insn,82,192,0,0,274
fp_store_insn,243,256,0,0,499
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,3384547,7894,0,0,3392441
load_half_word_insn,7320002,957,0,0,7320959
load_word_insn,2481861,44464,0,401,2526726
load_double_word_insn,3560364,303025,0,4836,3868225
itlb_reads,19947993,194197,0,2604,20144794
itlb_hits,19944876,172183,0,2282,20119341
load_tlb_reads,17268925,385289,0,5240,17659454
load_tlb_hits,17253489,351395,0,4699,17609583
store_tlb_reads,4970263,237145,0,4715,5212123
store_tlb_hits,4968266,223376,0,4537,5196179
cond_branches_taken,11523127,83012,0,503,11606642
cond_branches_pred_correct,18927259,154227,0,635,19082121
cond_branches_pred_incorrect,4155599,61822,0,542,4217963
uncond_branches_pred_correct,3072313,23872,0,232,3096417
uncond_branches_pred_incorrect,782213,47417,0,462,830092
btb_reads,199650785,2226688,0,22868,201900341
btb_hits,50875197,359799,0,2315,51237311
btb_inserts,3638139,172597,0,1271,3812007
btb_updates,25942636,260509,0,1731,26204876
int_regfile_reads,0,0,0,0,0
int_regfile_writes,122532706,1004210,0,10794,123547710
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,192,0,0,293
csr_reads,7,15658,0,1215,16880
csr_writes,2,13758,0,674,14434
fu_alu_accesses,152413229,1578080,0,17438,154008747
fu_mul_accesses,4856423,1911,0,0,4858334
fu_div_accesses,519,110,0,0,629
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3117,22016,0,0,25133
load_page_walks,15433,33669,0,0,49102
store_page_walks,1997,13769,0,0,15766
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,121,0,0,121
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,186,0,0,0,186
supervisor_ecall,0,19,0,0,19
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,118,8,0,0,126
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,18,1,0,0,19
machine_timer_interrupt,18,1,0,0,19
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,6025480,159466,0,2518,6187464
L1_icache_reads,172713401,1939350,0,20997,174673748
L1_icache_read_misses,4516,13125,0,137,17778
L1_dcache_reads,17313058,525989,0,5119,17844166
L1_dcache_read_misses,7021,18217,0,34,25272
L1_dcache_writes,4970197,237149,0,4696,5212042
L1_dcache_write_misses,586,9381,0,41,10008
L2_cache_reads,12168,40801,0,212,53181
L2_cache_read_misses,8046,25131,0,78,33255
L2_cache_writes,2940,14913,0,38,17891
L2_cache_write_misses,55,150,0,0,205
