stat-name,user,supervisor,hypervisor,machine,total
cycles,213881275,4237373,0,21059,218139707
commits,182987222,1573349,0,8344,184568915
ins_fetch,204139173,2015343,0,9593,206164109
sim_time_milli_sec,0,0,0,0,73097
insn_mem_delay,215062,566798,0,5007,786867
data_mem_delay,320601,1308909,0,1926,1631436
exec_unit_delay,0,0,0,0,0
load_insn,28051405,374048,0,2346,28427799
store_insn,7891735,231720,0,2104,8125559
atomic_insn,136,16130,0,0,16266
system_insn,273,21877,0,597,22747
aritmetic_insn,106860082,645004,0,2498,107507584
cond_branches,31352021,218519,0,494,31571034
jal_insn,2921144,34590,0,58,2955792
jalr_insn,1211268,29023,0,247,1240538
int_mul_insn,4698370,1894,0,0,4700264
int_div_insn,434,96,0,0,530
fp_load_insn,82,192,0,0,274
fp_store_insn,243,256,0,0,499
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,4742015,9504,0,0,4751519
load_half_word_insn,8986661,1775,0,0,8988436
load_word_insn,2425135,48179,0,184,2473498
load_double_word_insn,11897676,314782,0,2162,12214620
itlb_reads,26782106,209973,0,1183,26993262
itlb_hits,26778857,187045,0,1043,26966945
load_tlb_reads,28703025,402478,0,2349,29107852
load_tlb_hits,28601579,368502,0,2102,28972183
store_tlb_reads,7892188,247991,0,2104,8142283
store_tlb_hits,7891052,234600,0,2031,8127683
cond_branches_taken,17041794,86991,0,237,17129022
cond_branches_pred_correct,27732450,166548,0,332,27899330
cond_branches_pred_incorrect,4135386,59919,0,224,4195529
uncond_branches_pred_correct,3564545,24768,0,103,3589416
uncond_branches_pred_incorrect,773931,50015,0,221,824167
btb_reads,240345485,2316593,0,10473,242672551
btb_hits,70041074,378361,0,1060,70420495
btb_inserts,3548014,181328,0,639,3729981
btb_updates,35151721,272909,0,817,35425447
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140661206,1054600,0,4907,141720713
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,192,0,0,293
csr_reads,7,16623,0,529,17159
csr_writes,2,14686,0,282,14970
fu_alu_accesses,182521345,1648173,0,8007,184177525
fu_mul_accesses,4858441,1906,0,0,4860347
fu_div_accesses,466,145,0,0,611
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3249,22930,0,0,26179
load_page_walks,101444,33832,0,0,135276
store_page_walks,1136,13391,0,0,14527
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,58,0,0,58
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,216,0,0,0,216
supervisor_ecall,0,5,0,0,5
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,52,0,0,0,52
load_page_fault,43,0,0,0,43
store_page_fault,117,8,0,0,125
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,5,0,0,0,5
machine_timer_interrupt,5,0,0,0,5
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,8,0,0,8
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5994845,162410,0,1105,6158360
L1_icache_reads,204139173,2015343,0,9593,206164109
L1_icache_read_misses,4628,15886,0,178,20692
L1_dcache_reads,28741760,545006,0,2291,29289057
L1_dcache_read_misses,7037,19173,0,41,26251
L1_dcache_writes,7892121,247975,0,2099,8142195
L1_dcache_write_misses,605,9424,0,54,10083
L2_cache_reads,12315,44578,0,273,57166
L2_cache_read_misses,8191,28949,0,100,37240
L2_cache_writes,2750,15059,0,50,17859
L2_cache_write_misses,62,161,0,0,223
