stat-name,user,supervisor,hypervisor,machine,total
cycles,214146566,4097484,0,43084,218287134
commits,183200375,1524987,0,21525,184746887
ins_fetch,204350223,1948260,0,24146,206322629
sim_time_milli_sec,0,0,0,0,88331
insn_mem_delay,235521,475562,0,4748,715831
data_mem_delay,336317,1316404,0,2558,1655279
exec_unit_delay,0,0,0,0,0
load_insn,28269783,363642,0,6097,28639522
store_insn,7836960,227301,0,5489,8069750
atomic_insn,140,16052,0,0,16192
system_insn,251,21418,0,1599,23268
aritmetic_insn,106885511,622901,0,6309,107514721
cond_branches,31388916,210152,0,1260,31600328
jal_insn,2910264,32873,0,141,2943278
jalr_insn,1209365,27993,0,630,1237988
int_mul_insn,4698350,1934,0,0,4700284
int_div_insn,441,81,0,0,522
fp_load_insn,92,288,0,0,380
fp_store_insn,248,352,0,0,600
fp_add_insn,2,0,0,0,2
fp_mul_insn,2,0,0,0,2
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,45,0,0,0,45
load_byte_insn,4761758,7910,0,0,4769668
load_half_word_insn,9028659,948,0,0,9029607
load_word_insn,2411936,44961,0,467,2457364
load_double_word_insn,12067522,310111,0,5630,12383263
itlb_reads,26792883,202254,0,3027,26998164
itlb_hits,26789679,179582,0,2654,26971915
load_tlb_reads,28924512,391593,0,6099,29322204
load_tlb_hits,28822850,357418,0,5469,29185737
store_tlb_reads,7837429,243596,0,5489,8086514
store_tlb_hits,7836175,230096,0,5282,8071553
cond_branches_taken,17123663,84361,0,586,17208610
cond_branches_pred_correct,27800468,159578,0,823,27960869
cond_branches_pred_incorrect,4121347,58190,0,544,4180081
uncond_branches_pred_correct,3557138,23888,0,266,3581292
uncond_branches_pred_incorrect,774051,47908,0,537,822496
btb_reads,240603227,2237824,0,26316,242867367
btb_hits,70038410,363217,0,2666,70404293
btb_inserts,3641872,174774,0,1494,3818140
btb_updates,35203978,262354,0,2007,35468339
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140900964,1021146,0,12569,141934679
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,127,288,0,0,415
csr_reads,11,16101,0,1414,17526
csr_writes,4,14113,0,784,14901
fu_alu_accesses,182773888,1595084,0,20274,184389246
fu_mul_accesses,4858413,1954,0,0,4860367
fu_div_accesses,475,112,0,0,587
fu_fpu_alu_accesses,57,0,0,0,57
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3204,22675,0,0,25879
load_page_walks,101654,34009,0,0,135663
store_page_walks,1254,13500,0,0,14754
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,141,0,0,141
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,190,0,0,0,190
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,126,8,0,0,134
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,22,0,0,0,22
machine_timer_interrupt,22,0,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5975460,156725,0,2843,6135028
L1_icache_reads,204350223,1948260,0,24146,206322629
L1_icache_read_misses,4665,13755,0,148,18568
L1_dcache_reads,28959478,533888,0,5958,29499324
L1_dcache_read_misses,7227,18864,0,37,26128
L1_dcache_writes,7837358,243600,0,5467,8086425
L1_dcache_write_misses,634,9736,0,46,10416
L2_cache_reads,12570,42443,0,231,55244
L2_cache_read_misses,8284,26350,0,91,34725
L2_cache_writes,2995,15492,0,44,18531
L2_cache_write_misses,53,149,0,0,202
