stat-name,user,supervisor,hypervisor,machine,total
cycles,176526588,3931995,0,35704,180494287
commits,152777693,1513203,0,18228,154309124
ins_fetch,170756208,1818493,0,19741,172594442
sim_time_milli_sec,0,0,0,0,57389
insn_mem_delay,219852,471844,0,4823,696519
data_mem_delay,331601,1286171,0,1757,1619529
exec_unit_delay,0,0,0,0,0
load_insn,16746696,359441,0,5160,17111297
store_insn,4969817,224782,0,4644,5199243
atomic_insn,133,15906,0,0,16039
system_insn,242,20994,0,1350,22586
aritmetic_insn,100121349,620526,0,5352,100747227
cond_branches,22631105,208581,0,1068,22840754
jal_insn,2492789,32682,0,120,2525591
jalr_insn,1116412,27800,0,534,1144746
int_mul_insn,4698352,1897,0,0,4700249
int_div_insn,444,82,0,0,526
fp_load_insn,82,224,0,0,306
fp_store_insn,243,288,0,0,531
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,3384547,8044,0,0,3392591
load_half_word_insn,7320002,1116,0,0,7321118
load_word_insn,2481861,45271,0,396,2527528
load_double_word_insn,3560368,305234,0,4764,3870366
itlb_reads,20450658,210234,0,2614,20663506
itlb_hits,20447531,188024,0,2299,20637854
load_tlb_reads,17428758,387841,0,5164,17821763
load_tlb_hits,17415413,353264,0,4630,17773307
store_tlb_reads,4970270,240863,0,4644,5215777
store_tlb_hits,4969081,227023,0,4470,5200574
cond_branches_taken,11523127,83591,0,498,11607216
cond_branches_pred_correct,20106286,177503,0,853,20284642
cond_branches_pred_incorrect,3670143,37108,0,297,3707548
uncond_branches_pred_correct,3667977,38759,0,425,3707161
uncond_branches_pred_incorrect,110822,29899,0,261,140982
btb_reads,198311436,2101762,0,21577,200434775
btb_hits,55489298,457689,0,2861,55949848
btb_inserts,167956,73703,0,620,242279
btb_updates,26544135,255546,0,1698,26801379
int_regfile_reads,0,0,0,0,0
int_regfile_writes,122532766,1014331,0,10650,123557747
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,224,0,0,325
csr_reads,7,15765,0,1194,16966
csr_writes,2,13853,0,660,14515
fu_alu_accesses,153706911,1574934,0,17229,155299074
fu_mul_accesses,4860390,1912,0,0,4862302
fu_div_accesses,486,119,0,0,605
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3127,22212,0,0,25339
load_page_walks,13342,34271,0,0,47613
store_page_walks,1189,13840,0,0,15029
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,120,0,0,120
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,186,0,0,0,186
supervisor_ecall,0,18,0,0,18
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,119,8,0,0,127
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,18,0,0,0,18
machine_timer_interrupt,18,0,0,0,18
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,1,2,0,0,3
machine_external_interrupt,0,0,0,0,0
pipeline_flush,4820185,117726,0,2046,4939957
L1_icache_reads,170756208,1818493,0,19741,172594442
L1_icache_read_misses,4524,13848,0,148,18520
L1_dcache_reads,17463333,530066,0,5044,17998443
L1_dcache_read_misses,7069,18501,0,32,25602
L1_dcache_writes,4970203,240860,0,4626,5215689
L1_dcache_write_misses,583,9520,0,38,10141
L2_cache_reads,12225,41967,0,218,54410
L2_cache_read_misses,8018,25900,0,85,34003
L2_cache_writes,2921,15183,0,27,18131
L2_cache_write_misses,53,118,0,1,172
