stat-name,user,supervisor,hypervisor,machine,total
cycles,212556902,3945887,0,40036,216542825
commits,183199614,1516956,0,20860,184737430
ins_fetch,203555312,1823028,0,22439,205400779
sim_time_milli_sec,0,0,0,0,70004
insn_mem_delay,218971,460373,0,4939,684283
data_mem_delay,329351,1300787,0,1699,1631837
exec_unit_delay,0,0,0,0,0
load_insn,28269515,361489,0,5912,28636916
store_insn,7836815,225712,0,5324,8067851
atomic_insn,136,15968,0,0,16104
system_insn,243,21097,0,1554,22894
aritmetic_insn,106885392,621145,0,6104,107512641
cond_branches,31388799,208730,0,1220,31598749
jal_insn,2910241,32658,0,136,2943035
jalr_insn,1209335,27701,0,610,1237646
int_mul_insn,4698348,1925,0,0,4700273
int_div_insn,436,83,0,0,519
fp_load_insn,82,192,0,0,274
fp_store_insn,243,256,0,0,499
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,5,0,0,0,5
fp_misc_insn,24,0,0,0,24
load_byte_insn,4761755,8009,0,0,4769764
load_half_word_insn,9028659,1054,0,0,9029713
load_word_insn,2411919,45271,0,452,2457642
load_double_word_insn,12067264,307347,0,5460,12380071
itlb_reads,27307493,210431,0,2989,27520913
itlb_hits,27304323,188122,0,2627,27495072
load_tlb_reads,29067582,390168,0,5915,29463665
load_tlb_hits,28959176,353548,0,5305,29318029
store_tlb_reads,7837271,241828,0,5324,8084423
store_tlb_hits,7835525,228422,0,5122,8069069
cond_branches_taken,17123651,83766,0,566,17207983
cond_branches_pred_correct,28655516,177617,0,974,28834107
cond_branches_pred_incorrect,3882637,37233,0,324,3920194
uncond_branches_pred_correct,4200934,38600,0,493,4240027
uncond_branches_pred_incorrect,112625,29958,0,285,142868
btb_reads,240407024,2106436,0,24515,242537975
btb_hits,74606720,457534,0,3282,75067536
btb_inserts,174185,74096,0,645,248926
btb_updates,35753685,255732,0,1918,36011335
int_regfile_reads,0,0,0,0,0
int_regfile_writes,140900530,1016982,0,12174,141929686
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,101,192,0,0,293
csr_reads,7,15823,0,1374,17204
csr_writes,2,13880,0,764,14646
fu_alu_accesses,184337133,1579005,0,19624,185935762
fu_mul_accesses,4859906,1941,0,0,4861847
fu_div_accesses,482,121,0,0,603
fu_fpu_alu_accesses,29,0,0,0,29
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,3170,22311,0,0,25481
load_page_walks,108403,36320,0,0,144723
store_page_walks,1746,13406,0,0,15152
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,136,0,0,136
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,186,0,0,0,186
supervisor_ecall,0,22,0,0,22
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,51,0,0,0,51
load_page_fault,43,0,0,0,43
store_page_fault,120,8,0,0,128
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,21,1,0,0,22
machine_timer_interrupt,21,1,0,0,22
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,1,0,0,1
machine_external_interrupt,0,0,0,0,0
pipeline_flush,5118848,117950,0,2321,5239119
L1_icache_reads,203555312,1823028,0,22439,205400779
L1_icache_read_misses,4515,13483,0,159,18157
L1_dcache_reads,29122424,535785,0,5779,29663988
L1_dcache_read_misses,7030,18566,0,36,25632
L1_dcache_writes,7837206,241831,0,5302,8084339
L1_dcache_write_misses,594,9607,0,44,10245
L2_cache_reads,12185,41758,0,239,54182
L2_cache_read_misses,8046,25980,0,83,34109
L2_cache_writes,2884,15295,0,49,18228
L2_cache_write_misses,51,139,0,2,192
